"site_no","LONG","LAT"
"UVA_PAIN",38.19862,-78.79346
"UVA_WOR1",38.25083,-78.74886
"UVA_NFDR",38.63372,-78.35773
"UVA_STAN",38.44449,-78.37085
"UVA_PINE",38.70178,-78.26776
"1F001",-78.20328716,38.82428791
"1F003_1",-78.26336244,38.70154477
"1F004",-78.26963075,38.70437616
"1F006",-78.38143481,38.71563275
"1F008",-78.35927528,38.711589
"1F031",-78.28296971,38.6968622
"1F056",-78.1543396,38.80624886
"1F058",-78.16144578,38.80695791
"1F116",-78.34306113,38.71481643
"1F117",-78.33632419,38.72709177
"1F133",-78.19548936,38.82608733
"1F137",-78.28065937,38.71920156
"1F145",-78.27754259,38.71183103
"2F009",-78.34966912,38.54068783
"2F010",-78.3516876,38.54566638
"2F011",-78.35344987,38.54823349
"2F015",-78.3663898,38.51541886
"2F029",-78.48164009,38.47788739
"2F032",-78.30018322,38.57104101
"2F033",-78.30646497,38.57123985
"2F034",-78.31710456,38.56732633
"2F036",-78.28212508,38.65697092
"2F037",-78.28524381,38.65982732
"2F038",-78.29963509,38.57742072
"2F047",-78.45783492,38.40656192
"2F048",-78.46908564,38.41221165
"2F049",-78.31560028,38.59173511
"2F052",-78.27261273,38.63082446
"2F053",-78.28430482,38.63409673
"2F054",-78.40971842,38.52637321
"2F062",-78.35896813,38.5367986
"2F063",-78.34035239,38.54894113
"2F064",-78.37136798,38.54374503
"2F065",-78.36542142,38.5405705
"2F067",-78.27427001,38.59445985
"2F069",-78.49500057,38.3781195
"2F071",-78.26158756,38.61539473
"2F072_1",-78.37121413,38.44500635
"2F073",-78.37953969,38.45062148
"2F089",-78.26830217,38.625201
"2F090",-78.29403047,38.63056516
"2F091",-78.38284698,38.46694953
"2F092",-78.36824823,38.45341816
"2F093",-78.36781801,38.44122244
"2F096",-78.35223668,38.65154742
"2F110",-78.43195855,38.54889698
"2F111",-78.42836288,38.54576367
"2F112",-78.42568583,38.54307844
"2F113_1",-78.50136031,38.48609018
"2F114",-78.49982962,38.49635166
"2F115",-78.48925194,38.50061234
"2F119",-78.40386251,38.57452268
"2F120",-78.39788204,38.5698534
"2F121",-78.39548193,38.56634023
"2F122",-78.55947952,38.50134461
"2F129",-78.47504303,38.4800384
"2F130",-78.46606192,38.48861124
"2F134",-78.36512891,38.44768973
"2F136",-78.41822472,38.49042678
"2F139",-78.29464371,38.62599796
"2F140",-78.37935174,38.61594819
"3F018",-78.64067562,38.27960208
"3F019",-78.65347208,38.28326931
"3F020",-78.65475433,38.27764076
"3F023",-78.69905732,38.27217913
"3F025",-78.75842689,38.25485195
"3F026",-78.74829114,38.25204021
"3F041",-78.5112756,38.34211386
"3F043",-78.53341421,38.3489521
"3F078",-78.74538773,38.1657424
"3F079",-78.74717468,38.16648405
"3F080",-78.75413137,38.17057308
"3F084",-78.74880152,38.14793491
"3F085",-78.73990728,38.17522904
"3F086",-78.68661759,38.22274066
"3F087",-78.69308798,38.22962603
"3F101",-78.7020608,38.2609115
"3F108",-78.80313581,38.160223
"3F126",-78.68626187,38.32459938
"3F143",-78.80766247,38.097019
"3F144",-78.80475338,38.09894711
